X,Y,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density,road_density,latitude,longitude,lat,lon
561878.074472131,2077401.37482257,0.60415,10.37097,1.18751,357.30151,1.09145,4.0,0.03522,0.00744,18.787357161316095,105.58716576689335,18.787357161316095,105.58716576689335
561879.548934535,2077449.63325442,1.48237,11.18612,1.43446,333.02588,1.56479,4.0,0.0282,0.00822,18.787793248811155,105.58718126904743,18.787793248811155,105.58718126904743
561881.489051342,2077380.7814525,2.17271,6.86429,0.38469,368.20908,0.89053,5.0,0.03513,0.00754,18.787170948624347,105.58719752186411,18.787170948624347,105.58719752186411
561884.862267329,2077005.00409445,1.6657,4.84956,0.26294,620.92944,0.0,7.0,0.0,0.00553,18.783774791325392,105.58721776082805,18.783774791325392,105.58721776082805
561885.643719607,2078051.19174234,0.29234,6.4526,0.32774,122.99947,17.79357,6.0,0.77954,0.00901,18.793229598931298,105.5872579464543,18.793229598931298,105.5872579464543
561886.613980648,2077656.91793716,1.90145,5.92106,0.36879,306.64594,4.00213,7.0,0.18755,0.00968,18.789666355498053,105.58725480056368,18.789666355498053,105.58725480056368
561887.286841226,2076619.77330078,1.87199,6.99124,0.51077,515.67328,0.00358,5.0,0.036,0.00671,18.780293226422916,105.58722870403969,18.780293226422916,105.58722870403969
561887.858682915,2076531.15970544,2.38339,5.90275,0.36192,494.94574,0.02415,4.0,0.33472,0.00802,18.779492370882938,105.5872313555261,18.779492370882938,105.5872313555261
561888.200796952,2076780.54163401,1.32479,8.45327,0.61813,566.33203,0.0,7.0,0.0,0.00551,18.78174613031893,105.58724240967891,18.78174613031893,105.58724240967891
561902.331229439,2076115.7212275,1.15464,8.90409,1.07072,536.57617,0.0,6.0,2.2368,0.00778,18.775737445452126,105.58735566714248,18.775737445452126,105.58735566714248
561904.575319558,2076395.85585835,1.56399,5.14267,0.22782,463.87396,0.07982,6.0,1.83429,0.00872,18.778269074219825,105.58738573045795,18.778269074219825,105.58738573045795
561915.462736554,2076443.07427673,1.39589,9.14071,1.03,455.13635,0.12904,4.0,1.11095,0.00829,18.778695482300588,105.58749051128034,18.778695482300588,105.58749051128034
